id,year,statename,pcname,candidate,sex,party,total,polled,validv,electors,polled,pollperc,Rank,win,alliance
111,1996,ANDHRA PRADESH,RAJAHMUNDRY,GAVIREDDI SURYANARAYANA,M,JP,1351,0.18%,756401,1120483,769949,68.72%,5,0,OTHERS
112,1996,ANDHRA PRADESH,RAJAHMUNDRY,SATHIMSETTI NARAYANARAO,M,IND,829,0.11%,756401,1120483,769949,68.72%,6,0,OTHERS
113,1996,ANDHRA PRADESH,RAJAHMUNDRY,KOPPULA SATHIREDDY,M,IND,691,0.09%,756401,1120483,769949,68.72%,7,0,OTHERS
114,1996,ANDHRA PRADESH,RAJAHMUNDRY,KARRI TATARAO,M,IND,642,0.08%,756401,1120483,769949,68.72%,8,0,OTHERS
115,1996,ANDHRA PRADESH,RAJAHMUNDRY,KAKULLAVARAPU VENKATALAKSHMI SANTHI,F,IND,619,0.08%,756401,1120483,769949,68.72%,9,0,OTHERS
116,1996,ANDHRA PRADESH,RAJAHMUNDRY,YARLAGADDA SOLMANRAJU,M,IND,579,0.08%,756401,1120483,769949,68.72%,10,0,OTHERS
117,1996,ANDHRA PRADESH,RAJAHMUNDRY,GUTHULA SANJEEVARAO,M,IND,557,0.07%,756401,1120483,769949,68.72%,11,0,OTHERS
118,1996,ANDHRA PRADESH,RAJAHMUNDRY,MADIPALLI UDAYABHASKAR,M,IND,540,0.07%,756401,1120483,769949,68.72%,12,0,OTHERS
119,1996,ANDHRA PRADESH,RAJAHMUNDRY,SANKA VENKATA RAMANA,M,IND,526,0.07%,756401,1120483,769949,68.72%,13,0,OTHERS
120,1996,ANDHRA PRADESH,RAJAHMUNDRY,ATTILI ADINARAYANA GOWDA,M,IND,523,0.07%,756401,1120483,769949,68.72%,14,0,OTHERS
121,1996,ANDHRA PRADESH,RAJAHMUNDRY,RAIUDU VENKATESWARLU,M,IND,509,0.07%,756401,1120483,769949,68.72%,15,0,OTHERS
122,1996,ANDHRA PRADESH,RAJAHMUNDRY,LINGALA RAMA TEERTHA,M,IND,480,0.06%,756401,1120483,769949,68.72%,16,0,OTHERS
123,1996,ANDHRA PRADESH,RAJAHMUNDRY,ASEERVADAM KALABATHULA,M,IND,446,0.06%,756401,1120483,769949,68.72%,17,0,OTHERS
124,1996,ANDHRA PRADESH,RAJAHMUNDRY,YELETI BULLIRAJU,M,IND,395,0.05%,756401,1120483,769949,68.72%,18,0,OTHERS
125,1996,ANDHRA PRADESH,RAJAHMUNDRY,CHINTALURI VENKATARAMA MOHANARAO,M,IND,322,0.04%,756401,1120483,769949,68.72%,19,0,OTHERS
126,1996,ANDHRA PRADESH,RAJAHMUNDRY,MOTHA LAKSHMANASWAMY,M,IND,315,0.04%,756401,1120483,769949,68.72%,20,0,OTHERS
127,1996,ANDHRA PRADESH,RAJAHMUNDRY,PYDIMALLA BRAHMANANDAM,M,IND,315,0.04%,756401,1120483,769949,68.72%,20,0,OTHERS
128,1996,ANDHRA PRADESH,RAJAHMUNDRY,THOKALA CHINNAYYA,M,IND,237,0.03%,756401,1120483,769949,68.72%,22,0,OTHERS
129,1996,ANDHRA PRADESH,RAJAHMUNDRY,SEELAM UMAMAHESWARA RAO,M,IND,200,0.03%,756401,1120483,769949,68.72%,23,0,OTHERS
130,1996,ANDHRA PRADESH,RAJAHMUNDRY,MUDEDLA VENKATESWARARAO,M,IND,165,0.02%,756401,1120483,769949,68.72%,24,0,OTHERS
131,1996,ANDHRA PRADESH,RAJAHMUNDRY,APR CHOWDARY,M,IND,133,0.02%,756401,1120483,769949,68.72%,25,0,OTHERS
132,1996,ANDHRA PRADESH,AMALAPURAM (SC),KSR MURTHY,M,INC,245477,39.51%,621325,908492,637642,70.19%,1,1,OTHERS
133,1996,ANDHRA PRADESH,AMALAPURAM (SC),BALAYOGI GMC,M,TDP,216346,34.82%,621325,908492,637642,70.19%,2,0,NATIONAL FRONT
134,1996,ANDHRA PRADESH,AMALAPURAM (SC),BABU MOHAN PALLI,M,NTRTDP(LP),143718,23.13%,621325,908492,637642,70.19%,3,0,OTHERS
135,1996,ANDHRA PRADESH,AMALAPURAM (SC),AYYAJI VEMA MANEPALLI,M,BJP,6263,1.01%,621325,908492,637642,70.19%,4,0,BJP
136,1996,ANDHRA PRADESH,AMALAPURAM (SC),V RAJASEKHARA SINHA,M,IND,2804,0.45%,621325,908492,637642,70.19%,5,0,OTHERS
