year,statename,lcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
2001,Tamil Nadu,MODAKURICHI,BALASUBRAMANIAM. K.M,M,IND,1898,,134487,7,1.41%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI,THIYAGARAJAN.C,M,IND,1344,,134487,8,1.00%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI,SURIAMOORTHY.S,M,TDK,1242,,134487,9,0.92%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI,GUNASEKARAN .T.K.,M,UCPI,1086,,134487,10,0.81%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI,CHENNIAPPAN.S.K.,M,BSP,954,,134487,11,0.71%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI,PALANISAMY .N,M,IND,331,,134487,12,0.25%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI,CHINNUSAMY.K,M,IND,204,,134487,13,0.15%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI,SIVAPRAKASAM.M.,M,IND,201,,134487,14,0.15%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI,SENTHIL KUMAR V.S. ,M,IND,200,,134487,15,0.15%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI,GURUSAMY V.N.,M,IND,153,,134487,16,0.11%,0,OTHERS
2001,Tamil Nadu,MORAPPUR,PALANIAPPAN. P,M,ADMK,62266,,110577,1,56.31%,1,ADMK
2001,Tamil Nadu,MORAPPUR,RAJASEKARAN E.V.,M,DMK,38950,,110577,2,35.22%,0,DMK
2001,Tamil Nadu,MORAPPUR,SELVAKUMAR. M,M,TDK,3355,,110577,3,3.03%,0,OTHERS
2001,Tamil Nadu,MORAPPUR,MATHIAZHAGAN. P,M,MDMK,2709,,110577,4,2.45%,0,OTHERS
2001,Tamil Nadu,MORAPPUR,VASANTHA .G,F,IND,1402,,110577,5,1.27%,0,OTHERS
2001,Tamil Nadu,MORAPPUR,CHINNARAJU. R,M,IND,1167,,110577,6,1.06%,0,OTHERS
2001,Tamil Nadu,MORAPPUR,SATHIAVANI. M,F,IND,450,,110577,7,0.41%,0,OTHERS
2001,Tamil Nadu,MORAPPUR,KAMALASEKAR. P,M,IND,278,,110577,8,0.25%,0,OTHERS
2001,Tamil Nadu,MUDUKULATHUR,PATINETAMPATIAN. K,M,ADMK,49554,,105458,1,46.99%,1,ADMK
2001,Tamil Nadu,MUDUKULATHUR,PANDIAN.S.,M,MTD,46885,,105458,2,44.46%,0,DMK
2001,Tamil Nadu,MUDUKULATHUR,MUNIASAMY. S,M,MDMK,5221,,105458,3,4.95%,0,OTHERS
2001,Tamil Nadu,MUDUKULATHUR,MUNIASAMY.P.,M,IND,1293,,105458,4,1.23%,0,OTHERS
2001,Tamil Nadu,MUDUKULATHUR,RAMAN.I,M,SP,1276,,105458,5,1.21%,0,OTHERS
2001,Tamil Nadu,MUDUKULATHUR,ALBERT VALAN BABU. S.,M,JD(S),744,,105458,6,0.71%,0,OTHERS
2001,Tamil Nadu,MUDUKULATHUR,MURUGAN.M.,M,IND,485,,105458,7,0.46%,0,OTHERS
2001,Tamil Nadu,MUGAIYUR,GOTHANDARAMAN G.,M,ADMK,57484,,112063,1,51.30%,1,ADMK
2001,Tamil Nadu,MUGAIYUR,A.GEE.SAMPATH,M,DMK,47143,,112063,2,42.07%,0,DMK
2001,Tamil Nadu,MUGAIYUR,P.SUSAINATHAN,M,MDMK,3245,,112063,3,2.90%,0,OTHERS
2001,Tamil Nadu,MUGAIYUR,G.LAKSHMINARAYANAN,M,IND,2625,,112063,4,2.34%,0,OTHERS
2001,Tamil Nadu,MUGAIYUR,K.P.PALANIAPPAN,M,IND,1091,,112063,5,0.97%,0,OTHERS
2001,Tamil Nadu,MUGAIYUR,T.KUMAR,M,IND,475,,112063,6,0.42%,0,OTHERS
2001,Tamil Nadu,MUSIRI,MALLIGA C.,F,ADMK,47946,,137655,1,34.83%,1,ADMK
2001,Tamil Nadu,MUSIRI,S.VIVEKANANDAN,M,DMK,45952,,137655,2,33.38%,0,DMK
2001,Tamil Nadu,MUSIRI,THANGAVEL .M,M,IND,30419,,137655,3,22.10%,0,OTHERS
2001,Tamil Nadu,MUSIRI,NATARAJAN .R,M,MDMK,13338,,137655,4,9.69%,0,OTHERS
2001,Tamil Nadu,MYLAPORE,LAKSHMANAN.K.N,M,BJP,60996,,119385,1,51.09%,1,DMK
2001,Tamil Nadu,MYLAPORE,MAITREYAN.V,M,ADMK,54949,,119385,2,46.03%,0,ADMK
2001,Tamil Nadu,MYLAPORE,MOHAN RAJ .J,M,IND,882,,119385,3,0.74%,0,OTHERS
2001,Tamil Nadu,MYLAPORE,MOHAMED AMAAN KHAN.DR ,M,TNPP,849,,119385,4,0.71%,0,OTHERS
2001,Tamil Nadu,MYLAPORE,RUPESHKUMAR.S,M,ABHM,452,,119385,5,0.38%,0,OTHERS
2001,Tamil Nadu,MYLAPORE,KISHAN LAL C. ,M,IND,380,,119385,6,0.32%,0,OTHERS
2001,Tamil Nadu,MYLAPORE,BALAKRISHNAN .S,M,IND,320,,119385,7,0.27%,0,OTHERS
2001,Tamil Nadu,MYLAPORE,KUMAR.D,M,IND,298,,119385,8,0.25%,0,OTHERS
