id,year,statename,pcname,candidate,sex,age,category,party,symbol,general,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance,created_at,updated_at,,
114,2014,Andhra Pradesh,Malkajgiri,RAHUL PANDIT,M,48,GEN,IND,Battery Torch,897,2,899,0.03,0.06,3183083,25,1620444,0,0,OTHERS,,,,
115,2014,Andhra Pradesh,Malkajgiri,VATTIKUTI RAMARAO GOUD,M,28,GEN,IND,Pen Nib with Seven Rays,1031,1,1032,0.03,0.06,3183083,23,1620444,0,0,OTHERS,,,,
116,2014,Andhra Pradesh,Malkajgiri,M.T.VARUGHESE,M,50,GEN,IND,Gas Stove,1025,1,1026,0.03,0.06,3183083,24,1620444,0,0,OTHERS,,,,
117,2014,Andhra Pradesh,Malkajgiri,B.VEERA HANUMANTHA REDDY,M,48,GEN,IND,Slate,775,0,775,0.02,0.05,3183083,27,1620444,0,0,OTHERS,,,,
118,2014,Andhra Pradesh,Malkajgiri,None of the Above,,,,NOTA,NOTA,8666,26,8692,0.27,0.53,3183083,8,1620444,0,0,OTHERS,,,,
119,2014,Andhra Pradesh,Secundrabad,M.ANJAN KUMAR YADAV,M,53,GEN,INC,Hand,183427,109,183536,9.69,18.27,1893741,2,1003769,0,1,UPA,,,,
120,2014,Andhra Pradesh,Secundrabad,KHAJA KHALID ANWAR,M,47,GEN,BSP,Elephant,2856,7,2863,0.15,0.28,1893741,9,1003769,0,0,OTHERS,,,,
121,2014,Andhra Pradesh,Secundrabad,BANDARU DATTATREYA,M,66,GEN,BJP,Lotus,437860,411,438271,23.14,43.62,1893741,1,1003769,1,0,NDA,,,,
122,2014,Andhra Pradesh,Secundrabad,T.BHEEMSEN,M,65,GEN,TRS,Car,143696,151,143847,7.60,14.32,1893741,4,1003769,0,0,OTHERS,,,,
123,2014,Andhra Pradesh,Secundrabad,ABDUS SATTAR MUJAHED,M,48,GEN,ABML(S),Balloon,807,2,809,0.04,0.08,1893741,21,1003769,0,0,OTHERS,,,,
124,2014,Andhra Pradesh,Secundrabad,DR.N.S.UDAY KUMAR,M,53,GEN,pjdl,Television,927,1,928,0.05,0.09,1893741,18,1003769,0,0,OTHERS,,,,
125,2014,Andhra Pradesh,Secundrabad,KARANKOTE NARENDER,M,52,GEN,AIFB,Lion,474,0,474,0.03,0.05,1893741,27,1003769,0,0,OTHERS,,,,
126,2014,Andhra Pradesh,Secundrabad,KUMAR CHOWDARY YADAV.G,M,55,GEN,sps,Bat,547,0,547,0.03,0.05,1893741,26,1003769,0,0,OTHERS,,,,
127,2014,Andhra Pradesh,Secundrabad,KHAJA SIRAJUDDIN AZAZ,M,49,GEN,mmsp,Iron,957,2,959,0.05,0.10,1893741,17,1003769,0,0,OTHERS,,,,
128,2014,Andhra Pradesh,Secundrabad,CHAYA RATAN MUSINIPALLY,F,61,SC,AAAP,Broom,11162,22,11184,0.59,1.11,1893741,6,1003769,0,0,OTHERS,,,,
129,2014,Andhra Pradesh,Secundrabad,B.DEEPAK KUMAR,M,39,SC,RPI(KH),Candles,1813,0,1813,0.10,0.18,1893741,14,1003769,0,0,OTHERS,,,,
130,2014,Andhra Pradesh,Secundrabad,NARLA MOHAN RAO,M,47,GEN,AIMIM,Kite,145095,25,145120,7.66,14.44,1893741,3,1003769,0,0,OTHERS,,,,
131,2014,Andhra Pradesh,Secundrabad,DR.MALATHI LATHA EPPA,F,29,GEN,JAP,Almirah,871,2,873,0.05,0.09,1893741,20,1003769,0,0,OTHERS,,,,
132,2014,Andhra Pradesh,Secundrabad,CH. MURAHARI,M,55,GEN,SUCI,Glass Tumbler,552,2,554,0.03,0.06,1893741,25,1003769,0,0,OTHERS,,,,
133,2014,Andhra Pradesh,Secundrabad,MOHD IMTIAZ HUSSAIN,M,35,GEN,IUML,Ladder,784,2,786,0.04,0.08,1893741,22,1003769,0,0,UPA,,,,
134,2014,Andhra Pradesh,Secundrabad,RAGHU DESHABOINA,M,45,GEN,BMUP,Cot,1494,2,1496,0.08,0.15,1893741,15,1003769,0,0,OTHERS,,,,
135,2014,Andhra Pradesh,Secundrabad,J.RAMULU,M,39,GEN,RSP,Spade & Stoker,2057,1,2058,0.11,0.20,1893741,13,1003769,0,0,OTHERS,,,,
136,2014,Andhra Pradesh,Secundrabad,SHAKTHI SATYAVATHI,F,49,ST,PPOI,Battery Torch,638,0,638,0.03,0.06,1893741,24,1003769,0,0,OTHERS,,,,
137,2014,Andhra Pradesh,Secundrabad,K. SRINIVASULU,M,42,GEN,JaSPa,Chappals,3688,3,3691,0.19,0.37,1893741,8,1003769,0,0,OTHERS,,,,
138,2014,Andhra Pradesh,Secundrabad,SYED SAJID ALI,M,44,GEN,YSRCP,Ceiling Fan,45161,26,45187,2.39,4.50,1893741,5,1003769,0,0,OTHERS,,,,
139,2014,Andhra Pradesh,Secundrabad,K.SAI KRISHNA MOHAN RAO,M,53,GEN,ICSP,Trumpet,2599,4,2603,0.14,0.26,1893741,10,1003769,0,0,OTHERS,,,,
140,2014,Andhra Pradesh,Secundrabad,SONU SARSAL VALMIKI,M,29,SC,TECPI,Auto- Rickshaw,2310,1,2311,0.12,0.23,1893741,12,1003769,0,0,OTHERS,,,,
141,2014,Andhra Pradesh,Secundrabad,ANANTH RAO GUNDEPALLY,M,43,GEN,IND,Pen Nib with Seven Rays,779,0,779,0.04,0.08,1893741,23,1003769,0,0,OTHERS,,,,
142,2014,Andhra Pradesh,Secundrabad,AVULA RANGANAYAKULU,M,60,GEN,IND,Telephone,1143,1,1144,0.06,0.11,1893741,16,1003769,0,0,OTHERS,,,,
143,2014,Andhra Pradesh,Secundrabad,MICHAEL DANIEL OVELZ,M,41,GEN,IND,Pot,291,0,291,0.02,0.03,1893741,31,1003769,0,0,OTHERS,,,,
144,2014,Andhra Pradesh,Secundrabad,MOHD ABUBAKAR PARWAIZ SIDDIQUI,M,38,GEN,IND,Gas Cylinder,322,0,322,0.02,0.03,1893741,30,1003769,0,0,OTHERS,,,,
145,2014,Andhra Pradesh,Secundrabad,MOHAMMED RIZWAN HUSSAIN,M,32,GEN,IND,Coconut,370,0,370,0.02,0.04,1893741,29,1003769,0,0,OTHERS,,,,
146,2014,Andhra Pradesh,Secundrabad,S. LAKSHMAN RAO,M,50,GEN,IND,Envelope,885,1,886,0.05,0.09,1893741,19,1003769,0,0,OTHERS,,,,
